year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"Los Angeles County, CA","05000US06037","General Agriculture Management","010101","Bachelor's Degree","5",3
2013,"Los Angeles County, CA","05000US06037","General Agriculture Management","010101","Bachelor's Degree","5",31
2014,"Los Angeles County, CA","05000US06037","General Agriculture Management","010101","Bachelor's Degree","5",49
2015,"Los Angeles County, CA","05000US06037","Agricultural Business Operations","010102","Bachelor's Degree","5",30
2015,"Los Angeles County, CA","05000US06037","General Animal Sciences","010901","Bachelor's Degree","5",92
2013,"Los Angeles County, CA","05000US06037","General Animal Sciences","010901","Bachelor's Degree","5",126
2014,"Los Angeles County, CA","05000US06037","General Animal Sciences","010901","Bachelor's Degree","5",94
2015,"Los Angeles County, CA","05000US06037","Food Science","011001","Bachelor's Degree","5",29
2013,"Los Angeles County, CA","05000US06037","Food Science","011001","Bachelor's Degree","5",18
2014,"Los Angeles County, CA","05000US06037","Food Science","011001","Bachelor's Degree","5",19
2015,"Los Angeles County, CA","05000US06037","Food Technology & Processing","011002","Bachelor's Degree","5",5
2013,"Los Angeles County, CA","05000US06037","Food Technology & Processing","011002","Bachelor's Degree","5",2
2014,"Los Angeles County, CA","05000US06037","Food Technology & Processing","011002","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","Plant Protection & Integrated Pest Management","011105","Bachelor's Degree","5",33
2013,"Los Angeles County, CA","05000US06037","Plant Protection & Integrated Pest Management","011105","Bachelor's Degree","5",25
2014,"Los Angeles County, CA","05000US06037","Plant Protection & Integrated Pest Management","011105","Bachelor's Degree","5",30
2015,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Bachelor's Degree","5",50
2013,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Bachelor's Degree","5",62
2014,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Bachelor's Degree","5",59
2015,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Bachelor's Degree","5",249
2013,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Bachelor's Degree","5",185
2014,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Bachelor's Degree","5",232
2013,"Los Angeles County, CA","05000US06037","Other Conservation & Natural Resource Research","030199","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","Architecture","040201","Bachelor's Degree","5",349
2013,"Los Angeles County, CA","05000US06037","Architecture","040201","Bachelor's Degree","5",374
2014,"Los Angeles County, CA","05000US06037","Architecture","040201","Bachelor's Degree","5",309
2015,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Bachelor's Degree","5",158
2013,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Bachelor's Degree","5",70
2014,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Bachelor's Degree","5",91
2015,"Los Angeles County, CA","05000US06037","Environmental Design","040401","Bachelor's Degree","5",13
2013,"Los Angeles County, CA","05000US06037","Environmental Design","040401","Bachelor's Degree","5",38
2014,"Los Angeles County, CA","05000US06037","Environmental Design","040401","Bachelor's Degree","5",11
2015,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Bachelor's Degree","5",14
2013,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Bachelor's Degree","5",11
2014,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Bachelor's Degree","5",12
2015,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Bachelor's Degree","5",27
2013,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Bachelor's Degree","5",66
2014,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Bachelor's Degree","5",42
2015,"Los Angeles County, CA","05000US06037","Architectural & Building Sciences & Technology","040902","Bachelor's Degree","5",19
2015,"Los Angeles County, CA","05000US06037","African Studies","050101","Bachelor's Degree","5",1
2013,"Los Angeles County, CA","05000US06037","African Studies","050101","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Bachelor's Degree","5",64
2013,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Bachelor's Degree","5",57
2014,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Bachelor's Degree","5",48
2015,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Bachelor's Degree","5",78
2013,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Bachelor's Degree","5",38
2014,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Bachelor's Degree","5",59
2015,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Bachelor's Degree","5",33
2013,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Bachelor's Degree","5",49
2014,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Bachelor's Degree","5",23
2015,"Los Angeles County, CA","05000US06037","European Studies","050106","Bachelor's Degree","5",22
2013,"Los Angeles County, CA","05000US06037","European Studies","050106","Bachelor's Degree","5",30
2014,"Los Angeles County, CA","05000US06037","European Studies","050106","Bachelor's Degree","5",23
2015,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Bachelor's Degree","5",25
2013,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Bachelor's Degree","5",43
2014,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Bachelor's Degree","5",30
2015,"Los Angeles County, CA","05000US06037","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",17
2013,"Los Angeles County, CA","05000US06037","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",13
2014,"Los Angeles County, CA","05000US06037","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",18
2015,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",1
2013,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",5
2014,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",6
2015,"Los Angeles County, CA","05000US06037","Scandinavian Studies","050111","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",2
2013,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",5
2014,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",9
2013,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",7
2014,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",5
2013,"Los Angeles County, CA","05000US06037","German Studies","050125","Bachelor's Degree","5",2
2014,"Los Angeles County, CA","05000US06037","German Studies","050125","Bachelor's Degree","5",4
2015,"Los Angeles County, CA","05000US06037","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2013,"Los Angeles County, CA","05000US06037","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","Other Area Studies","050199","Bachelor's Degree","5",30
