year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Research Doctorate","17",1
2013,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Research Doctorate","17",4
2014,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Architecture","040201","Research Doctorate","17",2
2013,"Los Angeles County, CA","05000US06037","Architecture","040201","Research Doctorate","17",2
2014,"Los Angeles County, CA","05000US06037","Architecture","040201","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Research Doctorate","17",9
2014,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Research Doctorate","17",6
2015,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Research Doctorate","17",9
2013,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Research Doctorate","17",7
2014,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Research Doctorate","17",3
2015,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Research Doctorate","17",1
2014,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Research Doctorate","17",21
2013,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Research Doctorate","17",11
2014,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Research Doctorate","17",13
2013,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Research Doctorate","17",7
2014,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Research Doctorate","17",7
2013,"Los Angeles County, CA","05000US06037","Information Technology","110103","Research Doctorate","17",7
2015,"Los Angeles County, CA","05000US06037","Information Science","110401","Research Doctorate","17",12
2013,"Los Angeles County, CA","05000US06037","Information Science","110401","Research Doctorate","17",7
2014,"Los Angeles County, CA","05000US06037","Information Science","110401","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Computer Science","110701","Research Doctorate","17",69
2013,"Los Angeles County, CA","05000US06037","Computer Science","110701","Research Doctorate","17",59
2014,"Los Angeles County, CA","05000US06037","Computer Science","110701","Research Doctorate","17",73
2015,"Los Angeles County, CA","05000US06037","General Education","130101","Research Doctorate","17",108
2013,"Los Angeles County, CA","05000US06037","General Education","130101","Research Doctorate","17",107
2014,"Los Angeles County, CA","05000US06037","General Education","130101","Research Doctorate","17",92
2015,"Los Angeles County, CA","05000US06037","Multicultural Education","130202","Research Doctorate","17",10
2013,"Los Angeles County, CA","05000US06037","Multicultural Education","130202","Research Doctorate","17",6
2014,"Los Angeles County, CA","05000US06037","Multicultural Education","130202","Research Doctorate","17",12
2014,"Los Angeles County, CA","05000US06037","Curriculum & Instruction","130301","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Research Doctorate","17",327
2013,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Research Doctorate","17",317
2014,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Research Doctorate","17",269
2015,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Research Doctorate","17",10
2013,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Research Doctorate","17",9
2014,"Los Angeles County, CA","05000US06037","Urban Education & Leadership","130410","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Other Educational Administration & Supervision","130499","Research Doctorate","17",5
2013,"Los Angeles County, CA","05000US06037","Other Educational Administration & Supervision","130499","Research Doctorate","17",6
2014,"Los Angeles County, CA","05000US06037","Other Educational Administration & Supervision","130499","Research Doctorate","17",3
2015,"Los Angeles County, CA","05000US06037","Educational & Instructional Technology","130501","Research Doctorate","17",22
2013,"Los Angeles County, CA","05000US06037","Educational & Instructional Technology","130501","Research Doctorate","17",8
2014,"Los Angeles County, CA","05000US06037","Educational & Instructional Technology","130501","Research Doctorate","17",12
2015,"Los Angeles County, CA","05000US06037","General Special Education & Teaching","131001","Research Doctorate","17",8
2013,"Los Angeles County, CA","05000US06037","General Special Education & Teaching","131001","Research Doctorate","17",1
2014,"Los Angeles County, CA","05000US06037","General Special Education & Teaching","131001","Research Doctorate","17",5
2015,"Los Angeles County, CA","05000US06037","Other Education","139999","Research Doctorate","17",10
2015,"Los Angeles County, CA","05000US06037","Aerospace, Aeronautical, & Astronautical Engineering","140201","Research Doctorate","17",14
2013,"Los Angeles County, CA","05000US06037","Aerospace, Aeronautical, & Astronautical Engineering","140201","Research Doctorate","17",25
2014,"Los Angeles County, CA","05000US06037","Aerospace, Aeronautical, & Astronautical Engineering","140201","Research Doctorate","17",25
2015,"Los Angeles County, CA","05000US06037","Architectural Engineering","140401","Research Doctorate","17",1
2014,"Los Angeles County, CA","05000US06037","Architectural Engineering","140401","Research Doctorate","17",1
2015,"Los Angeles County, CA","05000US06037","Bioengineering & Biomedical Engineering","140501","Research Doctorate","17",42
2013,"Los Angeles County, CA","05000US06037","Bioengineering & Biomedical Engineering","140501","Research Doctorate","17",37
2014,"Los Angeles County, CA","05000US06037","Bioengineering & Biomedical Engineering","140501","Research Doctorate","17",40
2015,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",33
2013,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",38
2014,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",23
2015,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",21
2013,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",21
2014,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",36
2015,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",4
2013,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",3
2014,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",105
2013,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",97
2014,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",87
2015,"Los Angeles County, CA","05000US06037","Engineering Mechanics","141101","Research Doctorate","17",2
2013,"Los Angeles County, CA","05000US06037","Engineering Mechanics","141101","Research Doctorate","17",1
2015,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",9
2013,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",11
2014,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",3
