year,geo_name,geo,university_name,university,grads_men,grads_women
2013,"Los Angeles County, CA","05000US06037","American Academy of Dramatic Arts-Los Angeles","108852",42,54
2013,"Los Angeles County, CA","05000US06037","American Film Institute Conservatory","108870",77,44
2013,"Los Angeles County, CA","05000US06037","American Beauty College","108977",11,26
2013,"Los Angeles County, CA","05000US06037","American Career College-Los Angeles","109040",249,775
2013,"Los Angeles County, CA","05000US06037","Antelope Valley College","109350",595,914
2013,"Los Angeles County, CA","05000US06037","Art Center College of Design","109651",202,181
2013,"Los Angeles County, CA","05000US06037","Associated Technical College-Los Angeles","109721",121,141
2013,"Los Angeles County, CA","05000US06037","Azusa Pacific University","109785",907,1874
2013,"Los Angeles County, CA","05000US06037","Biola University","110097",626,708
2013,"Los Angeles County, CA","05000US06037","Bryan University","110219",112,144
2013,"Los Angeles County, CA","05000US06037","Phillips Graduate Institute","110307",12,109
2013,"Los Angeles County, CA","05000US06037","California Institute of Technology","110404",395,195
2013,"Los Angeles County, CA","05000US06037","California State Polytechnic University-Pomona","110529",2473,2204
2013,"Los Angeles County, CA","05000US06037","California State University-Dominguez Hills","110547",1110,2195
2013,"Los Angeles County, CA","05000US06037","California State University-Long Beach","110583",3498,5473
2013,"Los Angeles County, CA","05000US06037","California State University-Los Angeles","110592",1892,2935
2013,"Los Angeles County, CA","05000US06037","California State University-Northridge","110608",3558,5369
2013,"Los Angeles County, CA","05000US06037","University of California-Los Angeles","110662",5641,6416
2013,"Los Angeles County, CA","05000US06037","California Institute of the Arts","111081",162,170
2013,"Los Angeles County, CA","05000US06037","College of the Canyons","111461",564,832
2013,"Los Angeles County, CA","05000US06037","Casa Loma College-Van Nuys","111638",41,243
2013,"Los Angeles County, CA","05000US06037","Cerritos College","111887",725,1203
2013,"Los Angeles County, CA","05000US06037","Charles R Drew University of Medicine and Science","111966",58,161
2013,"Los Angeles County, CA","05000US06037","Citrus College","112172",773,1120
2013,"Los Angeles County, CA","05000US06037","Claremont Graduate University","112251",337,360
2013,"Los Angeles County, CA","05000US06037","Claremont McKenna College","112260",191,147
2013,"Los Angeles County, CA","05000US06037","Western University of Health Sciences","112525",353,599
2013,"Los Angeles County, CA","05000US06037","Columbia College-Hollywood","112570",46,22
2013,"Los Angeles County, CA","05000US06037","El Camino College-Compton Center","112686",125,252
2013,"Los Angeles County, CA","05000US06037","Western Beauty Institute","112783",92,157
2013,"Los Angeles County, CA","05000US06037","East Los Angeles College","113856",1595,2278
2013,"Los Angeles County, CA","05000US06037","El Camino Community College District","113980",1156,1448
2013,"Los Angeles County, CA","05000US06037","Elegance International","114044",4,63
2013,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Burbank","114071",8,267
2013,"Los Angeles County, CA","05000US06037","Emperor's College of Traditional Oriental Medicine","114114",10,40
2013,"Los Angeles County, CA","05000US06037","Fashion Institute of Design & Merchandising-Los Angeles","114354",228,1762
2013,"Los Angeles County, CA","05000US06037","Fuller Theological Seminary in California","114840",541,279
2013,"Los Angeles County, CA","05000US06037","Glendale Community College","115001",210,493
2013,"Los Angeles County, CA","05000US06037","Glendale Career College","115010",72,132
2013,"Los Angeles County, CA","05000US06037","Harvey Mudd College","115409",122,70
2013,"Los Angeles County, CA","05000US06037","Toni & Guy Hairdressing Academy-Santa Monica","116350",19,154
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-San Dimas","116475",198,39
2013,"Los Angeles County, CA","05000US06037","Joe Blasco Makeup Artist Training Center","116660",4,65
2013,"Los Angeles County, CA","05000US06037","American Jewish University","116846",24,40
2013,"Los Angeles County, CA","05000US06037","Life Pacific College","117104",49,45
2013,"Los Angeles County, CA","05000US06037","University of La Verne","117140",923,1451
2013,"Los Angeles County, CA","05000US06037","Lancaster Beauty School","117238",8,50
2013,"Los Angeles County, CA","05000US06037","Long Beach City College","117645",1663,2002
2013,"Los Angeles County, CA","05000US06037","Southern California University of Health Sciences","117672",70,52
2013,"Los Angeles County, CA","05000US06037","Los Angeles Harbor College","117690",232,381
2013,"Los Angeles County, CA","05000US06037","Los Angeles Pierce College","117706",682,967
2013,"Los Angeles County, CA","05000US06037","Los Angeles Southwest College","117715",71,243
2013,"Los Angeles County, CA","05000US06037","Los Angeles Trade Technical College","117724",855,617
2013,"Los Angeles County, CA","05000US06037","Los Angeles Valley College","117733",504,913
2013,"Los Angeles County, CA","05000US06037","The Master's College and Seminary","117751",216,156
2013,"Los Angeles County, CA","05000US06037","Los Angeles City College","117788",350,624
2013,"Los Angeles County, CA","05000US06037","Los Angeles County College of Nursing and Allied Health","117803",23,71
2013,"Los Angeles County, CA","05000US06037","Los Angeles Mission College","117867",296,715
2013,"Los Angeles County, CA","05000US06037","Loyola Marymount University","117946",1122,1637
2013,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Los Angeles","118356",102,1468
2013,"Los Angeles County, CA","05000US06037","Marymount California University","118541",52,71
2013,"Los Angeles County, CA","05000US06037","Kaplan College-North Hollywood","118967",260,356
2013,"Los Angeles County, CA","05000US06037","Mt San Antonio College","119164",1294,1504
2013,"Los Angeles County, CA","05000US06037","Mount St Mary's College","119173",81,726
2013,"Los Angeles County, CA","05000US06037","Musicians Institute","119270",672,159
2013,"Los Angeles County, CA","05000US06037","Everest College-Reseda","119359",116,361
2013,"Los Angeles County, CA","05000US06037","Everest College-LA Wilshire","119368",41,127
