year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"Los Angeles County, CA","05000US06037","General Agriculture","010000","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","General Agriculture","010000","Master's Degree","7",13
2014,"Los Angeles County, CA","05000US06037","General Agriculture","010000","Master's Degree","7",9
2015,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Master's Degree","7",4
2013,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Master's Degree","7",1
2014,"Los Angeles County, CA","05000US06037","Environmental Studies","030103","Master's Degree","7",6
2015,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Master's Degree","7",10
2014,"Los Angeles County, CA","05000US06037","Environmental Science","030104","Master's Degree","7",14
2015,"Los Angeles County, CA","05000US06037","Other Conservation & Natural Resource Research","030199","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","Other Conservation & Natural Resource Research","030199","Master's Degree","7",11
2014,"Los Angeles County, CA","05000US06037","Other Conservation & Natural Resource Research","030199","Master's Degree","7",9
2015,"Los Angeles County, CA","05000US06037","Architecture","040201","Master's Degree","7",258
2013,"Los Angeles County, CA","05000US06037","Architecture","040201","Master's Degree","7",201
2014,"Los Angeles County, CA","05000US06037","Architecture","040201","Master's Degree","7",304
2015,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Master's Degree","7",155
2013,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Master's Degree","7",177
2014,"Los Angeles County, CA","05000US06037","Urban, Community, & Regional Planning","040301","Master's Degree","7",167
2015,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Master's Degree","7",44
2013,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Master's Degree","7",40
2014,"Los Angeles County, CA","05000US06037","Interior Architecture","040501","Master's Degree","7",39
2015,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Master's Degree","7",33
2013,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Master's Degree","7",38
2014,"Los Angeles County, CA","05000US06037","Landscape Architecture","040601","Master's Degree","7",34
2015,"Los Angeles County, CA","05000US06037","Architectural & Building Sciences & Technology","040902","Master's Degree","7",22
2013,"Los Angeles County, CA","05000US06037","Architectural & Building Sciences & Technology","040902","Master's Degree","7",9
2014,"Los Angeles County, CA","05000US06037","Architectural & Building Sciences & Technology","040902","Master's Degree","7",12
2015,"Los Angeles County, CA","05000US06037","Real Estate Development","041001","Master's Degree","7",51
2013,"Los Angeles County, CA","05000US06037","Real Estate Development","041001","Master's Degree","7",47
2014,"Los Angeles County, CA","05000US06037","Real Estate Development","041001","Master's Degree","7",51
2015,"Los Angeles County, CA","05000US06037","African Studies","050101","Master's Degree","7",4
2013,"Los Angeles County, CA","05000US06037","African Studies","050101","Master's Degree","7",8
2014,"Los Angeles County, CA","05000US06037","African Studies","050101","Master's Degree","7",6
2015,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Master's Degree","7",11
2014,"Los Angeles County, CA","05000US06037","American & U.S. Studies","050102","Master's Degree","7",16
2015,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Master's Degree","7",1
2013,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Master's Degree","7",6
2014,"Los Angeles County, CA","05000US06037","Asian Studies","050103","Master's Degree","7",5
2015,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Master's Degree","7",11
2013,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Master's Degree","7",14
2014,"Los Angeles County, CA","05000US06037","East Asian Studies","050104","Master's Degree","7",11
2015,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Master's Degree","7",17
2013,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Master's Degree","7",23
2014,"Los Angeles County, CA","05000US06037","Latin American Studies","050107","Master's Degree","7",12
2015,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Master's Degree","7",4
2013,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Master's Degree","7",10
2014,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Master's Degree","7",5
2015,"Los Angeles County, CA","05000US06037","Native American Studies","050202","Master's Degree","7",5
2013,"Los Angeles County, CA","05000US06037","Native American Studies","050202","Master's Degree","7",5
2014,"Los Angeles County, CA","05000US06037","Native American Studies","050202","Master's Degree","7",6
2015,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Master's Degree","7",14
2013,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Master's Degree","7",12
2014,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Master's Degree","7",14
2015,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Master's Degree","7",3
2013,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Master's Degree","7",12
2014,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Master's Degree","7",7
2015,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Master's Degree","7",8
2013,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Master's Degree","7",3
2014,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Master's Degree","7",8
2015,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Master's Degree","7",10
2013,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Master's Degree","7",6
2014,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Master's Degree","7",6
2015,"Los Angeles County, CA","05000US06037","General Communication","090100","Master's Degree","7",4
2013,"Los Angeles County, CA","05000US06037","General Communication","090100","Master's Degree","7",10
2014,"Los Angeles County, CA","05000US06037","General Communication","090100","Master's Degree","7",4
2015,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Master's Degree","7",87
2013,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Master's Degree","7",55
2014,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Master's Degree","7",53
2015,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Master's Degree","7",202
2013,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Master's Degree","7",140
2014,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Master's Degree","7",232
2015,"Los Angeles County, CA","05000US06037","Journalism","090401","Master's Degree","7",91
2013,"Los Angeles County, CA","05000US06037","Journalism","090401","Master's Degree","7",48
2014,"Los Angeles County, CA","05000US06037","Journalism","090401","Master's Degree","7",68
2013,"Los Angeles County, CA","05000US06037","Broadcast Journalism","090402","Master's Degree","7",8
2015,"Los Angeles County, CA","05000US06037","Radio & Television","090701","Master's Degree","7",1
2014,"Los Angeles County, CA","05000US06037","Radio & Television","090701","Master's Degree","7",2
2015,"Los Angeles County, CA","05000US06037","Digital Communication & Multimedia","090702","Master's Degree","7",8
2015,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Master's Degree","7",69
2013,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Master's Degree","7",68
2014,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Master's Degree","7",55
2015,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Master's Degree","7",44
2013,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Master's Degree","7",20
2014,"Los Angeles County, CA","05000US06037","International & Intercultural Communication","090907","Master's Degree","7",36
2015,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Master's Degree","7",21
2013,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Master's Degree","7",6
2014,"Los Angeles County, CA","05000US06037","General Computer & Information Sciences","110101","Master's Degree","7",30
2015,"Los Angeles County, CA","05000US06037","Artificial Intelligence","110102","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","Artificial Intelligence","110102","Master's Degree","7",3
2014,"Los Angeles County, CA","05000US06037","Artificial Intelligence","110102","Master's Degree","7",6
2015,"Los Angeles County, CA","05000US06037","Information Technology","110103","Master's Degree","7",12
2013,"Los Angeles County, CA","05000US06037","Information Technology","110103","Master's Degree","7",10
2014,"Los Angeles County, CA","05000US06037","Information Technology","110103","Master's Degree","7",16
2015,"Los Angeles County, CA","05000US06037","Information Science","110401","Master's Degree","7",26
2013,"Los Angeles County, CA","05000US06037","Information Science","110401","Master's Degree","7",21
2014,"Los Angeles County, CA","05000US06037","Information Science","110401","Master's Degree","7",27
2015,"Los Angeles County, CA","05000US06037","Computer Science","110701","Master's Degree","7",835
2013,"Los Angeles County, CA","05000US06037","Computer Science","110701","Master's Degree","7",646
2014,"Los Angeles County, CA","05000US06037","Computer Science","110701","Master's Degree","7",638
2015,"Los Angeles County, CA","05000US06037","Data Modeling, Warehouse, & Database Administration","110802","Master's Degree","7",6
2014,"Los Angeles County, CA","05000US06037","Data Modeling, Warehouse, & Database Administration","110802","Master's Degree","7",3
2015,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Master's Degree","7",21
2013,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Master's Degree","7",25
2014,"Los Angeles County, CA","05000US06037","Modeling, Virtual Environments, & Simulation","110804","Master's Degree","7",23
2015,"Los Angeles County, CA","05000US06037","Other Computer Software & Media Applications","110899","Master's Degree","7",19
2015,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Master's Degree","7",24
2013,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Master's Degree","7",18
2014,"Los Angeles County, CA","05000US06037","Computer Systems Networking & Telecommunications","110901","Master's Degree","7",23
2015,"Los Angeles County, CA","05000US06037","Computer & Information Systems Security","111003","Master's Degree","7",19
2013,"Los Angeles County, CA","05000US06037","Computer & Information Systems Security","111003","Master's Degree","7",5
2015,"Los Angeles County, CA","05000US06037","General Education","130101","Master's Degree","7",1490
2013,"Los Angeles County, CA","05000US06037","General Education","130101","Master's Degree","7",1607
2014,"Los Angeles County, CA","05000US06037","General Education","130101","Master's Degree","7",1426
2015,"Los Angeles County, CA","05000US06037","Bilingual & Multilingual Education","130201","Master's Degree","7",17
2013,"Los Angeles County, CA","05000US06037","Bilingual & Multilingual Education","130201","Master's Degree","7",9
2014,"Los Angeles County, CA","05000US06037","Bilingual & Multilingual Education","130201","Master's Degree","7",16
2015,"Los Angeles County, CA","05000US06037","Multicultural Education","130202","Master's Degree","7",1
2015,"Los Angeles County, CA","05000US06037","Curriculum & Instruction","130301","Master's Degree","7",2
2013,"Los Angeles County, CA","05000US06037","Curriculum & Instruction","130301","Master's Degree","7",3
2014,"Los Angeles County, CA","05000US06037","Curriculum & Instruction","130301","Master's Degree","7",4
2015,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Master's Degree","7",228
2013,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Master's Degree","7",254
2014,"Los Angeles County, CA","05000US06037","General Educational Leadership & Administration","130401","Master's Degree","7",237
2015,"Los Angeles County, CA","05000US06037","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",10
2013,"Los Angeles County, CA","05000US06037","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",12
2014,"Los Angeles County, CA","05000US06037","Educational, Instructional, & Curriculum Supervision","130404","Master's Degree","7",8
2015,"Los Angeles County, CA","05000US06037","Higher Education & Administration","130406","Master's Degree","7",43
2013,"Los Angeles County, CA","05000US06037","Higher Education & Administration","130406","Master's Degree","7",40
