year,geo_name,geo,university_name,university,grads_total
2013,"Los Angeles County, CA","05000US06037","American Academy of Dramatic Arts-Los Angeles","108852",96
2013,"Los Angeles County, CA","05000US06037","American Film Institute Conservatory","108870",121
2013,"Los Angeles County, CA","05000US06037","American Beauty College","108977",37
2013,"Los Angeles County, CA","05000US06037","American Career College-Los Angeles","109040",1024
2013,"Los Angeles County, CA","05000US06037","Antelope Valley College","109350",1509
2013,"Los Angeles County, CA","05000US06037","Art Center College of Design","109651",383
2013,"Los Angeles County, CA","05000US06037","Associated Technical College-Los Angeles","109721",262
2013,"Los Angeles County, CA","05000US06037","Azusa Pacific University","109785",2781
2013,"Los Angeles County, CA","05000US06037","Biola University","110097",1334
2013,"Los Angeles County, CA","05000US06037","Bryan University","110219",256
2013,"Los Angeles County, CA","05000US06037","Phillips Graduate Institute","110307",121
2013,"Los Angeles County, CA","05000US06037","California Institute of Technology","110404",590
2013,"Los Angeles County, CA","05000US06037","California State Polytechnic University-Pomona","110529",4677
2013,"Los Angeles County, CA","05000US06037","California State University-Dominguez Hills","110547",3305
2013,"Los Angeles County, CA","05000US06037","California State University-Long Beach","110583",8971
2013,"Los Angeles County, CA","05000US06037","California State University-Los Angeles","110592",4827
2013,"Los Angeles County, CA","05000US06037","California State University-Northridge","110608",8927
2013,"Los Angeles County, CA","05000US06037","University of California-Los Angeles","110662",12057
2013,"Los Angeles County, CA","05000US06037","California Institute of the Arts","111081",332
2013,"Los Angeles County, CA","05000US06037","College of the Canyons","111461",1396
2013,"Los Angeles County, CA","05000US06037","Casa Loma College-Van Nuys","111638",284
2013,"Los Angeles County, CA","05000US06037","Cerritos College","111887",1928
2013,"Los Angeles County, CA","05000US06037","Charles R Drew University of Medicine and Science","111966",219
2013,"Los Angeles County, CA","05000US06037","Citrus College","112172",1893
2013,"Los Angeles County, CA","05000US06037","Claremont Graduate University","112251",697
2013,"Los Angeles County, CA","05000US06037","Claremont McKenna College","112260",338
2013,"Los Angeles County, CA","05000US06037","Western University of Health Sciences","112525",952
2013,"Los Angeles County, CA","05000US06037","Columbia College-Hollywood","112570",68
2013,"Los Angeles County, CA","05000US06037","El Camino College-Compton Center","112686",377
2013,"Los Angeles County, CA","05000US06037","Western Beauty Institute","112783",249
2013,"Los Angeles County, CA","05000US06037","East Los Angeles College","113856",3873
2013,"Los Angeles County, CA","05000US06037","El Camino Community College District","113980",2604
2013,"Los Angeles County, CA","05000US06037","Elegance International","114044",67
2013,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Burbank","114071",275
2013,"Los Angeles County, CA","05000US06037","Emperor's College of Traditional Oriental Medicine","114114",50
2013,"Los Angeles County, CA","05000US06037","Fashion Institute of Design & Merchandising-Los Angeles","114354",1990
2013,"Los Angeles County, CA","05000US06037","Fuller Theological Seminary in California","114840",820
2013,"Los Angeles County, CA","05000US06037","Glendale Community College","115001",703
2013,"Los Angeles County, CA","05000US06037","Glendale Career College","115010",204
2013,"Los Angeles County, CA","05000US06037","Harvey Mudd College","115409",192
2013,"Los Angeles County, CA","05000US06037","Toni & Guy Hairdressing Academy-Santa Monica","116350",173
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-San Dimas","116475",237
2013,"Los Angeles County, CA","05000US06037","Joe Blasco Makeup Artist Training Center","116660",69
2013,"Los Angeles County, CA","05000US06037","American Jewish University","116846",64
2013,"Los Angeles County, CA","05000US06037","Life Pacific College","117104",94
2013,"Los Angeles County, CA","05000US06037","University of La Verne","117140",2374
2013,"Los Angeles County, CA","05000US06037","Lancaster Beauty School","117238",58
2013,"Los Angeles County, CA","05000US06037","Long Beach City College","117645",3665
2013,"Los Angeles County, CA","05000US06037","Southern California University of Health Sciences","117672",122
2013,"Los Angeles County, CA","05000US06037","Los Angeles Harbor College","117690",613
2013,"Los Angeles County, CA","05000US06037","Los Angeles Pierce College","117706",1649
2013,"Los Angeles County, CA","05000US06037","Los Angeles Southwest College","117715",314
2013,"Los Angeles County, CA","05000US06037","Los Angeles Trade Technical College","117724",1472
2013,"Los Angeles County, CA","05000US06037","Los Angeles Valley College","117733",1417
2013,"Los Angeles County, CA","05000US06037","The Master's College and Seminary","117751",372
2013,"Los Angeles County, CA","05000US06037","Los Angeles City College","117788",974
