year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"New York, NY","16000US3651000","Environmental Studies","030103","Bachelor's Degree","5",94
2013,"New York, NY","16000US3651000","Environmental Studies","030103","Bachelor's Degree","5",66
2014,"New York, NY","16000US3651000","Environmental Studies","030103","Bachelor's Degree","5",87
2015,"New York, NY","16000US3651000","Environmental Science","030104","Bachelor's Degree","5",44
2013,"New York, NY","16000US3651000","Environmental Science","030104","Bachelor's Degree","5",45
2014,"New York, NY","16000US3651000","Environmental Science","030104","Bachelor's Degree","5",38
2015,"New York, NY","16000US3651000","Architecture","040201","Bachelor's Degree","5",210
2013,"New York, NY","16000US3651000","Architecture","040201","Bachelor's Degree","5",216
2014,"New York, NY","16000US3651000","Architecture","040201","Bachelor's Degree","5",217
2015,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Bachelor's Degree","5",5
2014,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Bachelor's Degree","5",4
2013,"New York, NY","16000US3651000","Landscape Architecture","040601","Bachelor's Degree","5",1
2014,"New York, NY","16000US3651000","Landscape Architecture","040601","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Architectural Technology","040901","Bachelor's Degree","5",114
2013,"New York, NY","16000US3651000","Architectural Technology","040901","Bachelor's Degree","5",77
2014,"New York, NY","16000US3651000","Architectural Technology","040901","Bachelor's Degree","5",91
2015,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Bachelor's Degree","5",20
2013,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Bachelor's Degree","5",29
2014,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Bachelor's Degree","5",27
2015,"New York, NY","16000US3651000","African Studies","050101","Bachelor's Degree","5",4
2013,"New York, NY","16000US3651000","African Studies","050101","Bachelor's Degree","5",7
2014,"New York, NY","16000US3651000","African Studies","050101","Bachelor's Degree","5",9
2015,"New York, NY","16000US3651000","American & U.S. Studies","050102","Bachelor's Degree","5",66
2013,"New York, NY","16000US3651000","American & U.S. Studies","050102","Bachelor's Degree","5",54
2014,"New York, NY","16000US3651000","American & U.S. Studies","050102","Bachelor's Degree","5",56
2015,"New York, NY","16000US3651000","Asian Studies","050103","Bachelor's Degree","5",23
2013,"New York, NY","16000US3651000","Asian Studies","050103","Bachelor's Degree","5",21
2014,"New York, NY","16000US3651000","Asian Studies","050103","Bachelor's Degree","5",28
2015,"New York, NY","16000US3651000","East Asian Studies","050104","Bachelor's Degree","5",47
2013,"New York, NY","16000US3651000","East Asian Studies","050104","Bachelor's Degree","5",64
2014,"New York, NY","16000US3651000","East Asian Studies","050104","Bachelor's Degree","5",59
2015,"New York, NY","16000US3651000","European Studies","050106","Bachelor's Degree","5",8
2013,"New York, NY","16000US3651000","European Studies","050106","Bachelor's Degree","5",5
2014,"New York, NY","16000US3651000","European Studies","050106","Bachelor's Degree","5",7
2015,"New York, NY","16000US3651000","Latin American Studies","050107","Bachelor's Degree","5",19
2013,"New York, NY","16000US3651000","Latin American Studies","050107","Bachelor's Degree","5",33
2014,"New York, NY","16000US3651000","Latin American Studies","050107","Bachelor's Degree","5",18
2015,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",34
2013,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",39
2014,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",35
2015,"New York, NY","16000US3651000","Russian Studies","050110","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Western European Studies","050114","Bachelor's Degree","5",9
2013,"New York, NY","16000US3651000","Western European Studies","050114","Bachelor's Degree","5",11
2014,"New York, NY","16000US3651000","Western European Studies","050114","Bachelor's Degree","5",15
2013,"New York, NY","16000US3651000","Slavic Studies","050118","Bachelor's Degree","5",1
2014,"New York, NY","16000US3651000","Slavic Studies","050118","Bachelor's Degree","5",2
2013,"New York, NY","16000US3651000","French Studies","050124","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Italian Studies","050126","Bachelor's Degree","5",2
2015,"New York, NY","16000US3651000","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2014,"New York, NY","16000US3651000","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Latin American & Caribbean Studies","050134","Bachelor's Degree","5",13
2013,"New York, NY","16000US3651000","Latin American & Caribbean Studies","050134","Bachelor's Degree","5",13
2014,"New York, NY","16000US3651000","Latin American & Caribbean Studies","050134","Bachelor's Degree","5",11
2015,"New York, NY","16000US3651000","Other Area Studies","050199","Bachelor's Degree","5",2
2013,"New York, NY","16000US3651000","Other Area Studies","050199","Bachelor's Degree","5",2
2014,"New York, NY","16000US3651000","Other Area Studies","050199","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Ethnic Studies","050200","Bachelor's Degree","5",20
2013,"New York, NY","16000US3651000","Ethnic Studies","050200","Bachelor's Degree","5",39
2014,"New York, NY","16000US3651000","Ethnic Studies","050200","Bachelor's Degree","5",16
2015,"New York, NY","16000US3651000","African-American & Black Studies","050201","Bachelor's Degree","5",35
2013,"New York, NY","16000US3651000","African-American & Black Studies","050201","Bachelor's Degree","5",42
2014,"New York, NY","16000US3651000","African-American & Black Studies","050201","Bachelor's Degree","5",38
2015,"New York, NY","16000US3651000","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",3
2013,"New York, NY","16000US3651000","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",8
2014,"New York, NY","16000US3651000","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",8
2013,"New York, NY","16000US3651000","Asian-American Studies","050206","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Women's Studies","050207","Bachelor's Degree","5",40
2013,"New York, NY","16000US3651000","Women's Studies","050207","Bachelor's Degree","5",46
2014,"New York, NY","16000US3651000","Women's Studies","050207","Bachelor's Degree","5",41
2015,"New York, NY","16000US3651000","Disability Studies","050210","Bachelor's Degree","5",7
2014,"New York, NY","16000US3651000","Disability Studies","050210","Bachelor's Degree","5",1
2015,"New York, NY","16000US3651000","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",104
2013,"New York, NY","16000US3651000","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",125
2014,"New York, NY","16000US3651000","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",107
2015,"New York, NY","16000US3651000","General Communication","090100","Bachelor's Degree","5",324
2013,"New York, NY","16000US3651000","General Communication","090100","Bachelor's Degree","5",191
2014,"New York, NY","16000US3651000","General Communication","090100","Bachelor's Degree","5",193
2015,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",579
2013,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",672
2014,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",672
2015,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Bachelor's Degree","5",481
2013,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Bachelor's Degree","5",420
2014,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Bachelor's Degree","5",489
2015,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Bachelor's Degree","5",229
2013,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Bachelor's Degree","5",244
2014,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Bachelor's Degree","5",232
