year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"New York, NY","16000US3651000","Architecture","040201","Research Doctorate","17",5
2013,"New York, NY","16000US3651000","Architecture","040201","Research Doctorate","17",3
2014,"New York, NY","16000US3651000","Architecture","040201","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Research Doctorate","17",4
2013,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Research Doctorate","17",3
2014,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","American & U.S. Studies","050102","Research Doctorate","17",5
2013,"New York, NY","16000US3651000","American & U.S. Studies","050102","Research Doctorate","17",3
2014,"New York, NY","16000US3651000","American & U.S. Studies","050102","Research Doctorate","17",5
2015,"New York, NY","16000US3651000","East Asian Studies","050104","Research Doctorate","17",2
2014,"New York, NY","16000US3651000","East Asian Studies","050104","Research Doctorate","17",2
2015,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Research Doctorate","17",1
2014,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Research Doctorate","17",3
2013,"New York, NY","16000US3651000","Western European Studies","050114","Research Doctorate","17",4
2015,"New York, NY","16000US3651000","French Studies","050124","Research Doctorate","17",2
2014,"New York, NY","16000US3651000","French Studies","050124","Research Doctorate","17",6
2015,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Research Doctorate","17",2
2013,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Research Doctorate","17",6
2014,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Research Doctorate","17",4
2015,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Research Doctorate","17",12
2013,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Research Doctorate","17",12
2014,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Research Doctorate","17",7
2014,"New York, NY","16000US3651000","Communications Technology","100105","Research Doctorate","17",3
2015,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Research Doctorate","17",30
2013,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Research Doctorate","17",26
2014,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Research Doctorate","17",23
2015,"New York, NY","16000US3651000","Computer Science","110701","Research Doctorate","17",26
2013,"New York, NY","16000US3651000","Computer Science","110701","Research Doctorate","17",24
2014,"New York, NY","16000US3651000","Computer Science","110701","Research Doctorate","17",29
2015,"New York, NY","16000US3651000","General Education","130101","Research Doctorate","17",1
2014,"New York, NY","16000US3651000","General Education","130101","Research Doctorate","17",3
2015,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Research Doctorate","17",48
2013,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Research Doctorate","17",41
2014,"New York, NY","16000US3651000","Curriculum & Instruction","130301","Research Doctorate","17",43
2015,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Research Doctorate","17",55
2013,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Research Doctorate","17",62
2014,"New York, NY","16000US3651000","General Educational Leadership & Administration","130401","Research Doctorate","17",48
2015,"New York, NY","16000US3651000","Higher Education & Administration","130406","Research Doctorate","17",7
2013,"New York, NY","16000US3651000","Higher Education & Administration","130406","Research Doctorate","17",4
2014,"New York, NY","16000US3651000","Higher Education & Administration","130406","Research Doctorate","17",11
2015,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Research Doctorate","17",15
2013,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Research Doctorate","17",12
2014,"New York, NY","16000US3651000","Urban Education & Leadership","130410","Research Doctorate","17",11
2015,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Research Doctorate","17",6
2013,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Research Doctorate","17",8
2014,"New York, NY","16000US3651000","Educational & Instructional Technology","130501","Research Doctorate","17",3
2013,"New York, NY","16000US3651000","Educational Statistics & Research Methods","130603","Research Doctorate","17",9
2014,"New York, NY","16000US3651000","Educational Statistics & Research Methods","130603","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","International & Comparative Education","130701","Research Doctorate","17",10
2013,"New York, NY","16000US3651000","International & Comparative Education","130701","Research Doctorate","17",12
2014,"New York, NY","16000US3651000","International & Comparative Education","130701","Research Doctorate","17",15
2015,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Research Doctorate","17",11
2013,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Research Doctorate","17",5
2014,"New York, NY","16000US3651000","Social & Philosophical Foundations of Education","130901","Research Doctorate","17",21
2015,"New York, NY","16000US3651000","General Special Education & Teaching","131001","Research Doctorate","17",1
2014,"New York, NY","16000US3651000","Education of the Gifted & Talented","131004","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Research Doctorate","17",9
2013,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Research Doctorate","17",13
2014,"New York, NY","16000US3651000","Education of Individuals with Emotional Disturbances","131005","Research Doctorate","17",11
2015,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Research Doctorate","17",3
2013,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Research Doctorate","17",6
2014,"New York, NY","16000US3651000","Education of Individuals with Mental Retardation","131006","Research Doctorate","17",3
2013,"New York, NY","16000US3651000","Education of Individuals with Orthopedic & Other Physical Health Impairments","131008","Research Doctorate","17",6
2015,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Research Doctorate","17",15
2013,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Research Doctorate","17",15
