year,geo_name,geo,university_name,university,grads_men,grads_women
2013,"New York, NY","16000US3651000","Tri-State College of Acupuncture","130581",7,35
2013,"New York, NY","16000US3651000","Vaughn College of Aeronautics and Technology","188340",300,52
2013,"New York, NY","16000US3651000","Globe Institute of Technology","188465",53,40
2013,"New York, NY","16000US3651000","Allen School-Brooklyn","188650",27,356
2013,"New York, NY","16000US3651000","The Ailey School","188669",12,38
2013,"New York, NY","16000US3651000","American Academy of Dramatic Arts-New York","188678",37,53
2013,"New York, NY","16000US3651000","American Academy McAllister Institute of Funeral Service","188687",46,59
2013,"New York, NY","16000US3651000","Joffrey Ballet School","188696",0,5
2013,"New York, NY","16000US3651000","American Musical and Dramatic Academy","188854",179,335
2013,"New York, NY","16000US3651000","Apex Technical School","188890",1026,9
2013,"New York, NY","16000US3651000","Associated Beth Rivkah Schools","188942",0,106
2013,"New York, NY","16000US3651000","Bank Street College of Education","189015",42,314
2013,"New York, NY","16000US3651000","Barnard College","189097",0,674
2013,"New York, NY","16000US3651000","Berk Trade and Business School","189219",184,3
2013,"New York, NY","16000US3651000","Berkeley College-New York","189228",373,818
2013,"New York, NY","16000US3651000","Beth Hatalmud Rabbinical College","189264",4,0
2013,"New York, NY","16000US3651000","Beth Hamedrash Shaarei Yosher Institute","189273",3,0
2013,"New York, NY","16000US3651000","Phillips Beth Israel School of Nursing","189282",18,96
2013,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-Brooklyn","189404",6,99
2013,"New York, NY","16000US3651000","Boricua College","189413",49,284
2013,"New York, NY","16000US3651000","Bramson ORT College","189422",97,167
2013,"New York, NY","16000US3651000","American Beauty School","189477",4,100
2013,"New York, NY","16000US3651000","Brooklyn Law School","189501",250,228
2013,"New York, NY","16000US3651000","St Paul's School of Nursing-Queens","189811",33,138
2013,"New York, NY","16000US3651000","Central Yeshiva Tomchei Tmimim Lubavitz","189857",135,0
2013,"New York, NY","16000US3651000","Circle in the Square Theater School","190008",15,19
2013,"New York, NY","16000US3651000","Metropolitan College of New York","190114",174,355
2013,"New York, NY","16000US3651000","Columbia University in the City of New York","190150",5689,6092
2013,"New York, NY","16000US3651000","Empire Beauty School-Queens","190239",11,160
2013,"New York, NY","16000US3651000","Cooper Union for the Advancement of Science and Art","190372",126,83
2013,"New York, NY","16000US3651000","Weill Cornell Medical College","190424",110,115
2013,"New York, NY","16000US3651000","CUNY Bernard M Baruch College","190512",2280,2405
2013,"New York, NY","16000US3651000","CUNY Borough of Manhattan Community College","190521",1075,1853
2013,"New York, NY","16000US3651000","CUNY Bronx Community College","190530",572,844
2013,"New York, NY","16000US3651000","CUNY Brooklyn College","190549",1355,2434
2013,"New York, NY","16000US3651000","College of Staten Island CUNY","190558",787,1478
2013,"New York, NY","16000US3651000","CUNY City College","190567",1330,1738
2013,"New York, NY","16000US3651000","CUNY Graduate School and University Center","190576",631,974
2013,"New York, NY","16000US3651000","CUNY Hostos Community College","190585",262,560
2013,"New York, NY","16000US3651000","CUNY Hunter College","190594",1431,4094
2013,"New York, NY","16000US3651000","CUNY John Jay College of Criminal Justice","190600",1253,1735
2013,"New York, NY","16000US3651000","CUNY Kingsborough Community College","190619",912,1479
2013,"New York, NY","16000US3651000","CUNY LaGuardia Community College","190628",886,1413
2013,"New York, NY","16000US3651000","CUNY Lehman College","190637",677,1870
2013,"New York, NY","16000US3651000","CUNY Medgar Evers College","190646",235,797
2013,"New York, NY","16000US3651000","CUNY New York City College of Technology","190655",1007,1046
2013,"New York, NY","16000US3651000","CUNY Queens College","190664",1699,3317
2013,"New York, NY","16000US3651000","CUNY Queensborough Community College","190673",863,1105
2013,"New York, NY","16000US3651000","CUNY School of Law at Queens College","190682",43,98
2013,"New York, NY","16000US3651000","CUNY York College","190691",310,727
2013,"New York, NY","16000US3651000","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","190752",23,0
2013,"New York, NY","16000US3651000","Fashion Institute of Technology","191126",453,3003
2013,"New York, NY","16000US3651000","Fordham University","191241",2174,2879
2013,"New York, NY","16000US3651000","The International Culinary Center","191287",259,339
2013,"New York, NY","16000US3651000","Gemological Institute of America-New York","191311",111,156
2013,"New York, NY","16000US3651000","The General Theological Seminary","191320",21,29
2013,"New York, NY","16000US3651000","Helene Fuld College of Nursing","191597",28,167
2013,"New York, NY","16000US3651000","Institute of Design and Construction","191764",16,8
2013,"New York, NY","16000US3651000","Institute of Audio Research","191834",308,34
2013,"New York, NY","16000US3651000","Jewish Theological Seminary of America","192040",47,59
2013,"New York, NY","16000US3651000","The Juilliard School","192110",142,134
2013,"New York, NY","16000US3651000","LIM College","192271",19,338
2013,"New York, NY","16000US3651000","LIU Brooklyn","192439",552,1392
2013,"New York, NY","16000US3651000","Long Island Business Institute","192509",56,138
2013,"New York, NY","16000US3651000","Machzikei Hadath Rabbinical College","192624",8,0
2013,"New York, NY","16000US3651000","Mandl School-The College of Allied Health","192688",36,322
2013,"New York, NY","16000US3651000","Manhattan College","192703",440,423
2013,"New York, NY","16000US3651000","Manhattan School of Music","192712",156,193
2013,"New York, NY","16000US3651000","Marymount Manhattan College","192864",85,316
2013,"New York, NY","16000US3651000","Memorial Hospital School of Radiation Therapy Technology","192970",4,3
2013,"New York, NY","16000US3651000","Mesivta Torah Vodaath Rabbinical Seminary","193052",24,0
2013,"New York, NY","16000US3651000","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech","193061",0,0
2013,"New York, NY","16000US3651000","Mesivtha Tifereth Jerusalem of America","193070",6,0
2013,"New York, NY","16000US3651000","Midway Paris Beauty School","193186",2,50
2013,"New York, NY","16000US3651000","Mirrer Yeshiva Cent Institute","193247",31,0
2013,"New York, NY","16000US3651000","Monroe College","193308",827,1710
2013,"New York, NY","16000US3651000","College of Mount Saint Vincent","193399",71,267
2013,"New York, NY","16000US3651000","Icahn School of Medicine at Mount Sinai","193405",110,128
2013,"New York, NY","16000US3651000","Neighborhood Playhouse School of the Theater","193609",10,13
2013,"New York, NY","16000US3651000","The New School","193654",869,2189
2013,"New York, NY","16000US3651000","Star Career Academy-New York","193760",198,407
2013,"New York, NY","16000US3651000","New York Institute of English and Business","193788",79,138
2013,"New York, NY","16000US3651000","New York Law School","193821",280,315
2013,"New York, NY","16000US3651000","New York School for Medical and Dental Assistants","193858",13,283
2013,"New York, NY","16000US3651000","New York Theological Seminary","193894",60,51
2013,"New York, NY","16000US3651000","New York University","193900",6240,8869
2013,"New York, NY","16000US3651000","New York College of Podiatric Medicine","194073",35,38
2013,"New York, NY","16000US3651000","New York School of Interior Design","194116",18,124
2013,"New York, NY","16000US3651000","Pace University-New York","194310",1345,2061
2013,"New York, NY","16000US3651000","Plaza College","194499",47,232
2013,"New York, NY","16000US3651000","Polytechnic Institute of New York University","194541",1091,366
2013,"New York, NY","16000US3651000","Pratt Institute-Main","194578",428,959
2013,"New York, NY","16000US3651000","Professional Business College","194611",100,198
2013,"New York, NY","16000US3651000","Rabbinical Academy Mesivta Rabbi Chaim Berlin","194657",51,0
2013,"New York, NY","16000US3651000","Rabbinical College Bobover Yeshiva Bnei Zion","194666",71,0
