year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"New York, NY","16000US3651000","Environmental Studies","030103","Master's Degree","7",1
2015,"New York, NY","16000US3651000","Environmental Science","030104","Master's Degree","7",38
2013,"New York, NY","16000US3651000","Environmental Science","030104","Master's Degree","7",54
2014,"New York, NY","16000US3651000","Environmental Science","030104","Master's Degree","7",61
2015,"New York, NY","16000US3651000","Architecture","040201","Master's Degree","7",319
2013,"New York, NY","16000US3651000","Architecture","040201","Master's Degree","7",315
2014,"New York, NY","16000US3651000","Architecture","040201","Master's Degree","7",317
2015,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Master's Degree","7",197
2013,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Master's Degree","7",195
2014,"New York, NY","16000US3651000","Urban, Community, & Regional Planning","040301","Master's Degree","7",229
2015,"New York, NY","16000US3651000","Environmental Design","040401","Master's Degree","7",10
2013,"New York, NY","16000US3651000","Environmental Design","040401","Master's Degree","7",24
2014,"New York, NY","16000US3651000","Environmental Design","040401","Master's Degree","7",15
2015,"New York, NY","16000US3651000","Landscape Architecture","040601","Master's Degree","7",19
2013,"New York, NY","16000US3651000","Landscape Architecture","040601","Master's Degree","7",34
2014,"New York, NY","16000US3651000","Landscape Architecture","040601","Master's Degree","7",21
2015,"New York, NY","16000US3651000","General Architectural History & Criticism","040801","Master's Degree","7",12
2013,"New York, NY","16000US3651000","General Architectural History & Criticism","040801","Master's Degree","7",9
2014,"New York, NY","16000US3651000","General Architectural History & Criticism","040801","Master's Degree","7",12
2015,"New York, NY","16000US3651000","Real Estate Development","041001","Master's Degree","7",89
2013,"New York, NY","16000US3651000","Real Estate Development","041001","Master's Degree","7",88
2014,"New York, NY","16000US3651000","Real Estate Development","041001","Master's Degree","7",88
2015,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Master's Degree","7",38
2013,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Master's Degree","7",35
2014,"New York, NY","16000US3651000","Other Architecture & Related Services","049999","Master's Degree","7",32
2015,"New York, NY","16000US3651000","American & U.S. Studies","050102","Master's Degree","7",22
2013,"New York, NY","16000US3651000","American & U.S. Studies","050102","Master's Degree","7",19
2014,"New York, NY","16000US3651000","American & U.S. Studies","050102","Master's Degree","7",29
2015,"New York, NY","16000US3651000","East Asian Studies","050104","Master's Degree","7",17
2013,"New York, NY","16000US3651000","East Asian Studies","050104","Master's Degree","7",23
2014,"New York, NY","16000US3651000","East Asian Studies","050104","Master's Degree","7",30
2015,"New York, NY","16000US3651000","Russian, Central European, East European, & Eurasian Studies","050105","Master's Degree","7",2
2013,"New York, NY","16000US3651000","Russian, Central European, East European, & Eurasian Studies","050105","Master's Degree","7",2
2014,"New York, NY","16000US3651000","Russian, Central European, East European, & Eurasian Studies","050105","Master's Degree","7",1
2015,"New York, NY","16000US3651000","European Studies","050106","Master's Degree","7",3
2013,"New York, NY","16000US3651000","European Studies","050106","Master's Degree","7",10
2014,"New York, NY","16000US3651000","European Studies","050106","Master's Degree","7",7
2015,"New York, NY","16000US3651000","Latin American Studies","050107","Master's Degree","7",16
2013,"New York, NY","16000US3651000","Latin American Studies","050107","Master's Degree","7",10
2014,"New York, NY","16000US3651000","Latin American Studies","050107","Master's Degree","7",18
2015,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Master's Degree","7",30
2013,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Master's Degree","7",21
2014,"New York, NY","16000US3651000","Near & Middle Eastern Studies","050108","Master's Degree","7",32
2015,"New York, NY","16000US3651000","Russian Studies","050110","Master's Degree","7",3
2013,"New York, NY","16000US3651000","Russian Studies","050110","Master's Degree","7",2
2014,"New York, NY","16000US3651000","Russian Studies","050110","Master's Degree","7",3
2015,"New York, NY","16000US3651000","South Asian Studies","050112","Master's Degree","7",8
2013,"New York, NY","16000US3651000","South Asian Studies","050112","Master's Degree","7",2
2014,"New York, NY","16000US3651000","South Asian Studies","050112","Master's Degree","7",8
2015,"New York, NY","16000US3651000","Western European Studies","050114","Master's Degree","7",4
2013,"New York, NY","16000US3651000","Western European Studies","050114","Master's Degree","7",41
2014,"New York, NY","16000US3651000","Western European Studies","050114","Master's Degree","7",14
2015,"New York, NY","16000US3651000","Chinese Studies","050123","Master's Degree","7",2
2013,"New York, NY","16000US3651000","Chinese Studies","050123","Master's Degree","7",1
2015,"New York, NY","16000US3651000","French Studies","050124","Master's Degree","7",16
2014,"New York, NY","16000US3651000","French Studies","050124","Master's Degree","7",12
2015,"New York, NY","16000US3651000","Italian Studies","050126","Master's Degree","7",5
2014,"New York, NY","16000US3651000","Italian Studies","050126","Master's Degree","7",4
2015,"New York, NY","16000US3651000","Irish Studies","050133","Master's Degree","7",10
2013,"New York, NY","16000US3651000","Irish Studies","050133","Master's Degree","7",14
2014,"New York, NY","16000US3651000","Irish Studies","050133","Master's Degree","7",2
2015,"New York, NY","16000US3651000","Latin American & Caribbean Studies","050134","Master's Degree","7",10
2014,"New York, NY","16000US3651000","Latin American & Caribbean Studies","050134","Master's Degree","7",14
2015,"New York, NY","16000US3651000","African-American & Black Studies","050201","Master's Degree","7",5
2013,"New York, NY","16000US3651000","African-American & Black Studies","050201","Master's Degree","7",13
2014,"New York, NY","16000US3651000","African-American & Black Studies","050201","Master's Degree","7",6
2015,"New York, NY","16000US3651000","Disability Studies","050210","Master's Degree","7",24
2013,"New York, NY","16000US3651000","Disability Studies","050210","Master's Degree","7",20
2014,"New York, NY","16000US3651000","Disability Studies","050210","Master's Degree","7",24
2013,"New York, NY","16000US3651000","Other Ethnic, Minority, Gender, & Group Studies","050299","Master's Degree","7",5
2015,"New York, NY","16000US3651000","General Communication","090100","Master's Degree","7",9
2015,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",57
2013,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",110
2014,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",137
2015,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",159
2013,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",224
2014,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",193
2015,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",66
2013,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",85
2014,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",98
2015,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",210
2013,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",471
2014,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",501
2015,"New York, NY","16000US3651000","Other Journalism","090499","Master's Degree","7",298
2015,"New York, NY","16000US3651000","Radio & Television","090701","Master's Degree","7",5
