year,geo_name,geo,university_name,university,grads_total
2013,"New York, NY","16000US3651000","Tri-State College of Acupuncture","130581",42
2013,"New York, NY","16000US3651000","Vaughn College of Aeronautics and Technology","188340",352
2013,"New York, NY","16000US3651000","Globe Institute of Technology","188465",93
2013,"New York, NY","16000US3651000","Allen School-Brooklyn","188650",383
2013,"New York, NY","16000US3651000","The Ailey School","188669",50
2013,"New York, NY","16000US3651000","American Academy of Dramatic Arts-New York","188678",90
2013,"New York, NY","16000US3651000","American Academy McAllister Institute of Funeral Service","188687",105
2013,"New York, NY","16000US3651000","Joffrey Ballet School","188696",5
2013,"New York, NY","16000US3651000","American Musical and Dramatic Academy","188854",514
2013,"New York, NY","16000US3651000","Apex Technical School","188890",1035
2013,"New York, NY","16000US3651000","Associated Beth Rivkah Schools","188942",106
2013,"New York, NY","16000US3651000","Bank Street College of Education","189015",356
2013,"New York, NY","16000US3651000","Barnard College","189097",674
2013,"New York, NY","16000US3651000","Berk Trade and Business School","189219",187
2013,"New York, NY","16000US3651000","Berkeley College-New York","189228",1191
2013,"New York, NY","16000US3651000","Beth Hatalmud Rabbinical College","189264",4
2013,"New York, NY","16000US3651000","Beth Hamedrash Shaarei Yosher Institute","189273",3
2013,"New York, NY","16000US3651000","Phillips Beth Israel School of Nursing","189282",114
2013,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-Brooklyn","189404",105
2013,"New York, NY","16000US3651000","Boricua College","189413",333
2013,"New York, NY","16000US3651000","Bramson ORT College","189422",264
2013,"New York, NY","16000US3651000","American Beauty School","189477",104
2013,"New York, NY","16000US3651000","Brooklyn Law School","189501",478
2013,"New York, NY","16000US3651000","St Paul's School of Nursing-Queens","189811",171
2013,"New York, NY","16000US3651000","Central Yeshiva Tomchei Tmimim Lubavitz","189857",135
2013,"New York, NY","16000US3651000","Circle in the Square Theater School","190008",34
2013,"New York, NY","16000US3651000","Metropolitan College of New York","190114",529
2013,"New York, NY","16000US3651000","Columbia University in the City of New York","190150",11781
2013,"New York, NY","16000US3651000","Empire Beauty School-Queens","190239",171
2013,"New York, NY","16000US3651000","Cooper Union for the Advancement of Science and Art","190372",209
2013,"New York, NY","16000US3651000","Weill Cornell Medical College","190424",225
2013,"New York, NY","16000US3651000","CUNY Bernard M Baruch College","190512",4685
2013,"New York, NY","16000US3651000","CUNY Borough of Manhattan Community College","190521",2928
2013,"New York, NY","16000US3651000","CUNY Bronx Community College","190530",1416
2013,"New York, NY","16000US3651000","CUNY Brooklyn College","190549",3789
2013,"New York, NY","16000US3651000","College of Staten Island CUNY","190558",2265
2013,"New York, NY","16000US3651000","CUNY City College","190567",3068
2013,"New York, NY","16000US3651000","CUNY Graduate School and University Center","190576",1605
2013,"New York, NY","16000US3651000","CUNY Hostos Community College","190585",822
2013,"New York, NY","16000US3651000","CUNY Hunter College","190594",5525
2013,"New York, NY","16000US3651000","CUNY John Jay College of Criminal Justice","190600",2988
2013,"New York, NY","16000US3651000","CUNY Kingsborough Community College","190619",2391
2013,"New York, NY","16000US3651000","CUNY LaGuardia Community College","190628",2299
2013,"New York, NY","16000US3651000","CUNY Lehman College","190637",2547
2013,"New York, NY","16000US3651000","CUNY Medgar Evers College","190646",1032
2013,"New York, NY","16000US3651000","CUNY New York City College of Technology","190655",2053
2013,"New York, NY","16000US3651000","CUNY Queens College","190664",5016
2013,"New York, NY","16000US3651000","CUNY Queensborough Community College","190673",1968
2013,"New York, NY","16000US3651000","CUNY School of Law at Queens College","190682",141
2013,"New York, NY","16000US3651000","CUNY York College","190691",1037
2013,"New York, NY","16000US3651000","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","190752",23
2013,"New York, NY","16000US3651000","Fashion Institute of Technology","191126",3456
2013,"New York, NY","16000US3651000","Fordham University","191241",5053
2013,"New York, NY","16000US3651000","The International Culinary Center","191287",598
2013,"New York, NY","16000US3651000","Gemological Institute of America-New York","191311",267
2013,"New York, NY","16000US3651000","The General Theological Seminary","191320",50
2013,"New York, NY","16000US3651000","Helene Fuld College of Nursing","191597",195
2013,"New York, NY","16000US3651000","Institute of Design and Construction","191764",24
2013,"New York, NY","16000US3651000","Institute of Audio Research","191834",342
2013,"New York, NY","16000US3651000","Jewish Theological Seminary of America","192040",106
2013,"New York, NY","16000US3651000","The Juilliard School","192110",276
2013,"New York, NY","16000US3651000","LIM College","192271",357
2013,"New York, NY","16000US3651000","LIU Brooklyn","192439",1944
2013,"New York, NY","16000US3651000","Long Island Business Institute","192509",194
2013,"New York, NY","16000US3651000","Machzikei Hadath Rabbinical College","192624",8
2013,"New York, NY","16000US3651000","Mandl School-The College of Allied Health","192688",358
2013,"New York, NY","16000US3651000","Manhattan College","192703",863
